job_id,name,prompt,prediction_id,video_path,status,video_url,created_at,completed_at,duration,aspect_ratio
job_6,rendered_banana_1.00_50_2,"Initially, the three bananas had an initial velocity of zero and were stationary. The bananas were then caused to move and rotate in a smooth, continuous motion: first, all three lie on the table, then one banana on the left begins to roll and tip, eventually lifting completely off the table and floating above the other two while rotating, before descending and rolling back down to rejoin the pair on the surface, as if an invisible hand or gentle external force is rolling and levitating that one banana while the other two remain mostly resting and only slightly jostle. The viewpoint was fixed in place above the wooden surface with no noticeable change in camera position or angle.",kqj1emy5hdrmt0cvvbs8e5q37g,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_6_Initially_the_three_kqj1emy5.mp4,downloaded,https://replicate.delivery/xezq/Xk9VNCZuc2aYBFmWNZ7ZDnBAEAhOT0Q5x3mF20xmmWkQL0fKA/tmp725qq49z.mp4,2026-01-20T10:28:22.027Z,2026-01-20T10:30:26.69081999Z,5,16:9
job_3,rendered_apple_1.00_50_2,"Initially, the red apple had an initial velocity of zero and was stationary, and the green apple had an initial velocity of zero and was stationary. The red and green apples then began to drift smoothly apart from each other horizontally, each also lifting slightly off the surface and rotating gently in place, as if an invisible horizontal force is pulling them away from each other while a soft upward force lets them hover and slowly spin in midair. The viewpoint was fixed in front of the apples at a constant angle and distance, without any camera movement.",9fb6jhy4hnrmt0cvvbsamhxpmc,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_3_Initially_the_red_a_9fb6jhy4.mp4,downloaded,https://replicate.delivery/xezq/oZkX1HsQAEofLCxxIPwJxOhNrY4UfqN8ns8pRI3MyLMDtQfrA/tmprzr5wanh.mp4,2026-01-20T10:28:21.773Z,2026-01-20T10:30:28.16601414Z,5,16:9
job_10,rendered_camera_1.00_5_3,"Initially, the left camera had an initial velocity of zero and was stationary, and the right camera had an initial velocity of zero and was stationary. The two cameras remained still on the tabletop at first, then together began to rise smoothly off the surface and hover while keeping roughly the same spacing, as if an invisible upward force were lifting them in unison. While airborne, they tilt and rotate slightly toward and away from each other and then gradually rotate back, and finally descend and settle back onto the tabletop in almost their original side‑by‑side pose, as if the lifting force weakened and gravity gently pulled them down. The viewpoint was fixed in front of the cameras with no noticeable change in angle, distance, or zoom throughout the sequence.",0qt3baydjhrmt0cvvbsaceztfm,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_10_Initially_the_left__0qt3bayd.mp4,downloaded,https://replicate.delivery/xezq/V7kuUb5ZHJ4cH91HRLCkpkaTsYVJS7x4JcxPwmeAy77jWofVA/tmphvh0z5my.mp4,2026-01-20T10:28:24.084Z,2026-01-20T10:30:31.251063376Z,5,16:9
job_16,rendered_domino1_1.00_50_4,"Initially, the row of white rectangular tiles (domino-like blocks) had an initial velocity of zero and was stationary. The tiles were gradually disturbed in the central region so that several middle tiles slowly leaned and clustered together while the tiles at both ends remained upright and fixed in place, as if a gentle lateral force is intermittently nudging the center tiles and then releasing them without causing a full domino fall. The viewpoint was fixed in a stable, straight-on side view with no noticeable camera movement or change in perspective.",dm9y5seg4xrmw0cvvbsamccc30,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_16_Initially_the_row_o_dm9y5seg.mp4,downloaded,https://replicate.delivery/xezq/3CgP08z38JbDJtey8vHDf0re5gzRbHn2hJtERBCLoKuOaheXB/tmpqid4gxrn.mp4,2026-01-20T10:28:24.743Z,2026-01-20T10:30:31.833885351Z,5,16:9
job_9,rendered_brick_1.00_50_3,"Initially, the four rectangular bricks each had an initial velocity of zero and were stationary. The bricks then moved in a smooth, continuous sequence where the top two bricks gradually separated from their initial stacked, cross-like arrangement: the top-left brick slowly slid and rotated forward and downward until it came to rest on the floor slightly in front of the left bottom brick, while the top-right brick slowly rotated and translated forward, then downward, finally standing nearly upright on its short edge near the right bottom brick before gently settling back into a more typical resting orientation beside it. The bottom two bricks remained essentially fixed in place throughout, serving as a stable base, as if an invisible, controlled force was carefully lifting, rotating, and repositioning only the upper bricks while keeping the lower bricks anchored. The viewpoint was fixed in a static, three-quarter front view, with no noticeable camera motion or change in perspective.",0mws5gy1esrmw0cvvbsa50202w,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_9_Initially_the_four__0mws5gy1.mp4,downloaded,https://replicate.delivery/xezq/CQJAneAeKnmGD0lng0vIHCzCPF6MteoGqAfTkJiwIykI0C9XB/tmpumebw6xs.mp4,2026-01-20T10:28:20.982Z,2026-01-20T10:30:27.521852886Z,5,16:9
job_12,rendered_car_truck_1.00_5_0,"Initially, the blue sports car had an initial velocity of zero and was stationary. Initially, the yellow dump truck had an initial velocity of zero and was stationary. The blue sports car was stationary from start to finish, remaining fixed in place without any noticeable translation or rotation, as if no external force is acting on it and it is firmly anchored to the ground. The yellow dump truck was repeatedly rocked and tilted to its left side (toward the car) and then partially back toward upright in a smooth, pendulum-like motion, as if an unseen hand or lateral force is pushing its upper body to lean toward the car and then easing off so it swings slightly back, with its contact point near the car staying roughly fixed while the body pivots around it. The viewpoint was fixed in a stable, front-facing position, with no visible camera movement or change in perspective throughout the sequence.",687n0s6j9srmy0cvvbs8bt1kf4,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_12_Initially_the_blue__687n0s6j.mp4,downloaded,https://replicate.delivery/xezq/WmSHjjlH9xZ7ARdDKLv6ORoMnQCKO5KRzexPw32TES8kWofVA/tmp4tx3cqh0.mp4,2026-01-20T10:28:25.294Z,2026-01-20T10:30:33.631935827Z,5,16:9
job_14,rendered_cold_storage_front,"Initially, the three white storage bins had an initial velocity of zero and were stationary on the floor. The three bins were then lifted smoothly and uniformly upward from the floor, moving together as a rigid group and hovering at a nearly constant height, and afterward the left bin gently rotated and settled back down to the floor followed by the middle and right bins, as if an invisible upward force first raised the whole group and then was gradually released so that gravity gently pulled them back to rest. The viewpoint was fixed in a static, frontal position, with no noticeable change in camera angle, zoom, or perspective throughout the sequence.",q00rys6m8drmy0cvvbsbq40v58,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_14_Initially_the_three_q00rys6m.mp4,downloaded,https://replicate.delivery/xezq/r6bzrADxKOpdP91gsG5Nu6uuq5fEIYBktAHiSwlAJ5NkWofVA/tmp4ua2vcde.mp4,2026-01-20T10:28:25.795Z,2026-01-20T10:30:32.601735379Z,5,16:9
job_15,rendered_cup,"Initially, the **left cup** had an initial velocity of zero and was stationary, the **middle cup** had an initial velocity of zero and was stationary, and the **right cup** had an initial velocity of zero and was stationary. The three paper cups were first resting upright on the table, and then the middle cup rose straight upward into the air, followed by the left and right cups lifting and tilting inward so that all three cups floated off the table and slowly rotated around their centers; next, the left and right cups continued rotating until they lay on their sides on the table while the middle cup remained slightly elevated and rotated from upright toward a sideways orientation, and by the end all three cups came to rest stably on their sides in a triangular arrangement, as if an invisible hand were gently lifting, rotating, and then laying them down in a carefully choreographed motion. The viewpoint was fixed in a frontal position with no noticeable camera motion or zoom throughout the sequence.",2px1k3yj0drmw0cvvbs8eq9rn8,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_15_Initially_the_lef_2px1k3yj.mp4,downloaded,https://replicate.delivery/xezq/Wwv01VvTE1YAANXVxprFEHwpu7xyPI0KlgFNgEFPhbASL0fKA/tmp61in_2g5.mp4,2026-01-20T10:28:25.219Z,2026-01-20T10:30:32.346525158Z,5,16:9
job_4,rendered_apple_1.00_50_4,"Initially, the four apples had an initial velocity of zero and were stationary on the surface. The apples as a group remained fixed in place on the tabletop, with only a smooth, continuous rotation occurring around them, as if a camera is orbiting around the cluster while an invisible force keeps the apples rigidly locked in the same stable arrangement. The viewpoint was smoothly circling around the apples from right-front toward left-back, maintaining a similar distance and height while rotating around the group.",sqnj64e25nrmw0cvvbsagk5g74,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_4_Initially_the_four__sqnj64e2.mp4,downloaded,https://replicate.delivery/xezq/BPfkB89uVISaaahRfsOESAfzI2ZSkxQRMnJl8YyGTWdGaheXB/tmpybt3i5xy.mp4,2026-01-20T10:28:21.165Z,2026-01-20T10:30:27.251170502Z,5,16:9
job_5,rendered_avocado_1.00_50_2,"Initially, the whole avocado and the avocado half each had an initial velocity of zero and were stationary. The whole avocado and the half then rotated together in 3D and translated diagonally upward and to the left in a smooth, continuous motion, as if an invisible hand were lifting and pivoting them through the air while keeping their relative spacing mostly consistent. The viewpoint was fixed in a slightly elevated frontal position, with no noticeable camera movement, so all apparent motion comes from the avocados themselves.",edbvk364m1rmy0cvvbs9nkf534,/gemini/platform/public/aigc/zx/PhysOmni/baselines_v1/kling_demo/multi_s/job_5_Initially_the_whole_edbvk364.mp4,downloaded,https://replicate.delivery/xezq/TfLw6j3XprXrSyxItCzlLEACG70fw1o9jTdet3XcjmfP0C9XB/tmp380xz9py.mp4,2026-01-20T10:28:21.792Z,2026-01-20T10:30:27.540870984Z,5,16:9
